Gene_name,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
insL-1,37.124,36.567,85.053,87.224,34.134,38.777,33.804,37.943,46.44,44.831,49.446,48.92,51.059,98.331,47.503,44.9,36.433,30.978,39.313,46.729
mokC,17.935,19.996,14.807,11.989,10.883,5.894,6.935,10.667,6.174,6.312,10.744,9.291,9.011,11.719,10.773,15.445,13.297,8.826,16.443,9.915
nhaA,117.087,132.637,52.638,40.71,83.445,78.765,81.367,87.472,50.656,53.265,86.873,88.613,112.42,53.488,131.331,119.429,87.91,78.876,67.199,64.315
nhaR,64.79,66.239,23.923,20.87,52.426,44.134,37.978,43.269,32.654,33.917,48.137,47.349,66.416,26.916,68.158,66.249,54.326,35.936,36.594,42.193
insB-1,3.363,2.854,5.352,3.883,16.367,4.581,4.71,3.386,6.453,5.748,8.422,8.316,9.316,5.791,7.831,7.295,16.567,4.75,6.941,6.449
insA-1,8.622,7.247,17.655,16.909,53.322,22.713,15.35,16.119,15.557,18.117,18.403,22.99,34.197,11.934,18.093,13.115,59.695,25.799,20.7,25.001
rpsT,2443.384,1710.024,11512.958,8539.509,4916.805,4670.872,3895.872,4050.001,4967.828,4444.955,4438.808,4977.188,6501.886,7398.087,3783.311,3813.169,6199.228,6631.089,4102.879,2509.041
yaaY,17.549,14.806,5.574,8.622,14.86,6.459,8.907,6.661,9.183,10.252,13.133,14.18,11.088,3.859,11.64,11.669,18.627,6.628,14.658,13.221
ribF,134.147,128.204,147.342,140.824,170.623,155.31,147.544,146.469,156.89,156.296,186.821,184.607,196.353,148.466,184.923,192.613,183.892,155.083,183.108,196.135
ileS,263.567,251.029,173.25,190.841,226.178,243.806,236.149,246.661,310,295.27,302.54,280.078,296.372,211.427,296.827,296.926,214.313,203.824,230.291,308.441
lspA,201.144,231.144,171.234,159.758,226.688,208.3,181.845,200.435,258.418,257.491,253.546,243.776,257.967,214.588,249.823,259.721,206.96,183.203,201.588,239.961
fkpB,147.467,134.364,107.896,120.513,163.625,136.344,110.967,124.276,163.476,158.21,160.608,146.688,203.028,118.88,182.401,169.276,168.192,111.009,131.705,148.498
ispH,116.362,109.58,99.955,104.758,129.878,104.889,97.167,92.221,144.525,148.361,122.638,123.535,156.226,114.465,129.632,127.986,123.988,85.285,113.551,148.677
rihC,20.357,18.706,58.123,60.177,19.548,22.526,22.597,24.767,19.839,18.979,17.586,18.291,13.787,76.423,19.257,22.845,22.743,17.938,39.978,47.716
dapB,150.988,155.909,68.594,63.34,70.778,69.018,74.543,81.438,82.669,80.688,108.284,101.7,117.017,73.85,99.855,102.195,66.288,69.764,99.176,104.725
carA,365.261,284.095,40.192,37.009,1376.723,2030.793,1661.023,1704.812,1216.558,1239.411,795.402,761.719,651.024,43.573,353.716,371.828,1512.406,1956.936,767.057,1114.33
carB,224.218,173.686,24.427,27.404,1191.121,1476.558,1428.516,1344.659,979.322,973.259,608.382,546.26,536.413,29.009,301.873,320.553,1131.766,1417.498,443.89,812.425
caiF,17.081,16.779,7.794,4.959,117.811,180.515,181.399,189.963,70.565,72.952,115.203,115.198,43.961,4.018,37.657,35.741,112.212,172.782,80.112,83.963
caiE,2.731,2.833,2.611,0.639,4.834,4.53,3.124,3.482,3.179,2.197,3.734,2.976,1.814,2.86,2.426,1.33,4.478,4.081,3.469,2.697
caiD,3.292,1.454,1.963,2.723,3.887,2.957,4.864,4.275,2.188,2.822,2.681,3.776,1.926,1.012,1.176,1.667,5.344,4.318,3.569,2.608
caiC,3.594,5.028,3.29,2.009,11.702,13.296,12.753,10.962,5.909,7.589,13.881,12.326,8.057,3.135,8.079,6.873,12.016,11.079,11.804,10.342
caiB,2.23,3.142,4.312,4.506,12.033,9,7.815,7.87,5.844,7.195,7.898,9.77,8.881,4.613,6.592,5.918,11.543,8.195,9.745,11.325
caiA,4.259,3.72,9.27,5.419,15.518,11.801,14.949,12.192,10.557,9.963,12.321,13.536,9.878,6.046,9.032,9.574,15.933,15.708,13.547,10.645
caiT,0.44,0.561,0.365,0.532,0.689,0.3,0.361,0.464,0.803,0.518,0.655,1.034,0.999,0.328,0.673,0.692,0.673,0.766,0.463,0.644
fixA,0.997,0.827,1.255,0.327,0.322,0.852,0.337,0.743,0.755,0.386,0.772,0.214,1.064,0.709,0.909,0.552,0.535,0.608,0.28,0.844
fixB,0.354,1.129,0.538,1.069,0.58,0.67,0.718,0.608,0.421,0.201,0.895,0.758,0.502,0.528,0.677,0.765,0.644,0.498,0.745,0.829
fixC,0.737,0.537,0.322,0,0.579,0.746,0.404,0.405,0.432,0.378,0.694,0.683,0.76,0.541,0.545,0.687,0.453,0.59,0.503,0.531
fixX,0,0.185,0,0,0.345,0.088,0.181,0.09,0.735,0,0.517,0.477,0.219,0.173,0.664,0.91,0.674,0.62,0.843,0.339
yaaU,0.308,0.359,0.899,1.399,0.634,0.417,0.391,0.332,0.993,0.609,0.931,0.846,0.71,0.336,0.526,1.033,0.583,0.469,1.195,1.026
kefF,16.936,18.97,7.678,4.267,9.45,8.8,8.718,11.675,7.625,7.488,10.459,12.783,12.591,6.741,12.901,11.785,12.484,11.186,8.383,11.519
kefC,26.97,27.747,6.936,6.784,14.854,13.003,13.123,15.659,11.463,10.614,13.841,15.031,20.348,7.152,14.315,18.131,14.037,11.411,11.396,15.263
folA,75.584,75.746,170.635,116.338,74.733,158.502,128.848,115.695,100.114,107.748,138.638,148.398,123.783,156.402,133.694,128.868,78.714,130.45,105.546,86.757
apaH,66.471,75.476,28.306,27.417,69.192,51.597,51.43,53.486,46.866,47.329,70.91,72.142,89.336,30.963,89.656,89.428,61.41,43.708,57.921,67.615
apaG,168.507,176.692,118.76,105.636,247.301,185.903,175.932,171.101,170.042,181.762,213.96,200.292,256.968,136.986,238.555,219.807,246.544,166.123,213.885,205.1
rsmA,164.702,161.955,141.448,152.01,237.72,206.377,188.605,188.987,192.702,179.541,205.045,200.391,269.868,155.049,241.031,233.207,232.745,185.004,195.694,213.448
pdxA,116.023,113.183,69.052,82.27,147.37,98.971,94.548,93.245,116.914,106.942,107.589,102.041,133.029,78.468,115.674,115.432,135.292,91.173,106.407,134.604
surA,326.752,333.593,181.865,203.468,283.934,236.421,233.809,232.242,267.58,252.569,276.255,260.824,314.978,209.666,279.196,280.204,264.949,199.208,262.659,328.295
lptD,257.186,260.629,152.467,162.895,226.224,186.576,184.121,190.341,197.897,187.728,221.732,221.657,246.618,168.427,209.271,220.41,218.155,171.109,218.309,265.699
djlA,41.196,42.667,52.671,40.974,72.516,61.972,61.705,58.862,55.907,52.376,69.155,62.641,78.147,49.291,61.931,59.985,71.596,56.375,63.871,71.367
yabP,31.486,32.579,29.508,26.53,66.436,32.049,27.286,25.047,29.104,34.155,46.54,39.85,57.939,26.921,27.409,28.485,56.919,31.593,42.599,50.225
yabQ,89.918,108.65,77.356,49.404,118.585,77.208,72.462,67.822,64.907,88.464,100.11,101.282,96,59.567,78.156,82.835,145.691,81.037,103.834,87.78
rluA,56.601,47.356,123.435,109.366,67.073,57.561,59.897,55.016,62.346,62.788,57.964,56.253,72.535,121.431,69.665,69.448,64.972,51.835,50.928,56.392
rapA,51.631,40.904,79.7,97.667,41.446,45.462,47.775,42.078,54.936,50.173,54.713,52.646,70.842,97.861,67.421,65.537,41.881,44.616,44.302,60.188
polB,17.43,20.408,8.481,8.221,22.529,9.848,10.549,11.34,11.161,11.11,14.379,13.694,16.734,9.068,18.804,15.462,21.66,10.444,14.91,15.575
araD,2.651,3.589,0.397,0.434,0.464,0.327,0.523,1.422,0.38,1.399,0.285,0.948,0.544,1.286,1.373,0.565,1.535,0.898,0.698,1.122
araA,6.444,5.924,1.103,0.905,1.306,1.479,1.09,1.092,1.426,0.846,1.848,1.828,2.098,1.819,2.82,1.984,1.826,1.099,1.687,2.078
araB,4.037,2.703,0.867,0.266,0.716,0.475,0.443,0.505,0.669,0.493,0.583,0.452,0.89,0.789,1.255,1.175,0.671,0.578,0.983,1.148
araC,48.095,58.235,20.963,18.847,7.207,7.529,6.391,8.119,14.27,15.325,13.06,12.506,11.912,20.758,23.635,29.408,7.79,7.19,28.511,27.87
yabI,49.569,51.349,37.515,25.341,88.489,14.726,12.647,16.071,22.761,18.882,17.858,18.824,45.842,34.575,31.655,31.478,90.843,17.952,24.367,27.941
thiQ,5.718,4.525,17.629,12.895,28.254,27.355,21.283,23.514,39.523,40.787,33.626,31.255,42.546,19.062,49.414,50.808,30.604,25.621,26.205,25.18
thiP,3.308,5.032,14.226,11.002,26.399,24.036,17.742,21.423,38.946,37.107,34.443,29.306,38.741,10.909,54.748,55.073,25.246,22.303,28.869,30.534
thiB,8.176,8.211,22.331,18.269,52.234,60.735,53.1,53.472,102.217,90.275,97.31,87.33,116.533,24.429,159.447,157.422,49.798,61.569,78.215,81.632
sgrR,9.19,9.597,11.795,9.244,8.941,9.365,9.14,8.745,10.578,10.258,13.415,14.935,18.397,12.279,10.833,9.734,10.557,8.846,10.458,14.145
setA,13.908,15.532,14.085,13.026,13.148,12.212,14.206,13.874,13.13,12.825,13.543,17.318,17.36,15.139,21.837,24.343,11.657,12.444,14.598,16.833
leuD,794.401,759.302,4.371,3.199,20.62,11.463,10.386,9.972,33.798,33.567,23.198,21.223,21.389,6.235,10.831,12.002,23,8.402,19.097,32.051
leuC,594.055,531.418,2.565,1.887,15.657,8.005,6.367,8.478,27.52,29.714,19.98,14.3,14.497,3.265,7.437,9.728,14.42,6.264,12.535,22.943
leuB,664.687,603.715,3.839,2.951,19.132,9.692,8.574,9.971,30.678,32.301,23.113,21.819,17.53,2.959,9.6,9.361,15.676,6.646,13.044,21.749
